id,title,current_price,original_price,discount_text,image_url,unit_size,url,scrape_date,store
,AH Courgette,0.00,0.00,,https://static.ah.nl/dam/product/AHI_434d50303135383737?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Broccoli,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545237303333353032?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente komkommer,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393430323031?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Pink Lady Appels schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239353935393435?revLabel=10&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente tomaat,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393430313934?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Aubergine,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303838383334?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente paprikamix,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303433393637?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,SPRANK Appels schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313432343633?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente tomatenmix,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393430323036?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Granny Smith schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031373031?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Biologisch Gala schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313239333336?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Jazz Appels schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239353936353632?revLabel=8&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Italiaanse lasagne verspakket,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303739333036?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Fuji schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031373034?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Curry madras verspakket,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313339303738?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Elstar schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031373033?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Kanzi schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239373135323237?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Biologisch Nederlandse appels schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031313930?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Witte bonen in tomatensaus,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333936?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Doperwtjes,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363637?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Verse pureersoep tomaat oregano,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313336313037?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Bruine bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333939?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Witte bonen in tomatensaus,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333837?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Verse pureersoep pompoen wortel,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313336313035?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Rauwkost komkommer,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031313934?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Bruine bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393036333931?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Rauwkost radijs,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031313933?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Snoepgroente radijsmix,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313339303931?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Bonduelle Zwarte bonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130303433353631?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Sperziebonen,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239393230363633?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Gala schaal,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313131343338?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,AH Rauwkost Amsterdamse ui,0.00,0.00,,https://static.ah.nl/dam/product/AHI_4354523130313031313839?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Hak Spliterwten gedroogd,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239363836363534?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
,Heinz Beanz,0.00,0.00,,https://static.ah.nl/dam/product/AHI_43545239373933303637?revLabel=7&rendition=200x200_JPG_Q85&fileType=binary,,,2025-03-05,Albert Heijn
